,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
0,1496,180,2240000,34,0,2,9.29,65882.35294117648,34,365.98493003229277,2018-05-17,5,2,17
1,1494,445,11040000,92,0,2,50.28,120000.0,92,182.97533810660306,2018-06-28,6,2,28
2,1554,196,6800000,68,0,3,5.56,100000.0,68,1223.021582733813,2018-09-07,9,3,7
3,1484,511,9000000,180,53,1,60.0,50000.0,127,300.0,2018-05-16,5,2,16
4,1576,55,160000,13,0,2,2.41,12307.692307692307,13,539.4190871369294,2018-10-29,10,4,29
5,1502,262,400000,8,0,3,1.66,50000.0,8,481.92771084337346,2018-05-31,5,2,31
6,1483,390,38080000,492,0,9,72.04,77398.37398373982,492,682.9539144919488,2018-03-26,3,1,26
7,1484,89,48450000,323,0,5,52.1,150000.0,323,619.9616122840691,2018-04-26,4,2,26
8,1499,43,320000,4,0,6,0.87,80000.0,4,459.77011494252866,2018-07-22,7,3,22
9,1497,490,770000,13,0,4,0.65,59230.76923076923,13,2000.0,2018-06-14,6,2,14
10,1480,271,4860000,81,0,6,4.22,60000.0,81,1919.4312796208533,2018-03-27,3,1,27
11,1484,222,10360000,259,0,6,23.02,40000.0,259,1125.1086012163337,2018-05-08,5,2,8
12,1496,313,1960000,32,0,4,2.63,61250.0,32,1216.7300380228135,2018-06-08,6,2,8
13,1494,453,5490000,101,0,3,12.24,54356.435643564364,101,825.1633986928102,2018-05-11,5,2,11
14,1556,518,37800000,559,0,10,46.43,67620.75134168158,559,1203.9629549860006,2018-08-22,8,3,22
15,1511,518,480000,4,0,5,1.1,120000.0,4,363.6363636363636,2018-08-12,8,3,12
16,1486,306,4140000,69,0,4,4.08,60000.0,69,1691.1764705882351,2018-04-04,4,2,4
17,1569,429,4320000,36,0,3,8.51,120000.0,36,423.0317273795535,2018-10-07,10,4,7
18,1498,304,37680000,471,0,8,34.63,80000.0,471,1360.092405428819,2018-08-14,8,3,14
19,1486,253,2800000,40,0,3,3.38,70000.0,40,1183.431952662722,2018-05-02,5,2,2
20,1485,34,27360000,228,0,3,69.09,120000.0,228,330.0043421623969,2018-03-26,3,1,26
21,1483,428,10010000,143,0,2,47.67,70000.0,143,299.9790224459828,2018-04-01,4,2,1
22,1483,402,2300000,46,0,2,9.58,50000.0,46,480.1670146137787,2018-05-22,5,2,22
23,1484,352,4200000,28,0,1,25.93,150000.0,28,107.9830312379483,2018-05-11,5,2,11
24,1494,165,4080000,51,0,3,15.94,80000.0,51,319.94981179422837,2018-07-05,7,3,5
25,1482,468,6900000,132,0,3,29.93,52272.727272727265,132,441.0290678249248,2018-04-23,4,2,23
26,1554,243,6480000,108,0,10,5.78,60000.0,108,1868.5121107266439,2018-07-22,7,3,22
27,1511,186,1500000,15,0,1,2.96,100000.0,15,506.75675675675683,2018-08-06,8,3,6
28,1495,247,2800000,70,0,1,39.77,40000.0,70,176.0120693990445,2018-05-17,5,2,17
29,1553,33,14880000,124,0,7,5.06,120000.0,124,2450.592885375494,2018-10-18,10,4,18
30,1556,144,240000,3,0,4,0.19,80000.0,3,1578.9473684210525,2018-08-27,8,3,27
31,1496,163,13380000,223,0,4,51.15,60000.0,223,435.97262952101664,2018-05-15,5,2,15
32,1498,489,5930000,50,0,12,8.33,118600.0,50,600.2400960384152,2018-07-01,7,3,1
33,1576,453,2190000,36,0,6,3.9,60833.33333333334,36,923.0769230769232,2018-10-01,10,4,1
34,1484,245,17100000,570,0,2,89.06,30000.0,570,640.0179654165731,2018-04-10,4,2,10
35,1556,194,1200000,24,0,3,2.2,50000.0,24,1090.9090909090908,2018-08-18,8,3,18
36,1559,455,1600000,20,3,1,15.63,80000.0,17,127.95905310300705,2018-08-09,8,3,9
37,1497,262,5600000,112,0,3,23.19,50000.0,112,482.96679603277266,2018-06-12,6,2,12
38,1553,162,2580000,43,0,7,0.63,60000.0,43,6825.396825396825,2018-10-14,10,4,14
39,1572,185,8880000,111,0,12,2.49,80000.0,111,4457.831325301204,2018-10-03,10,4,3
40,1484,445,33660000,561,2,6,91.15,60000.0,559,615.4690071311026,2018-05-01,5,2,1
41,1575,72,1200000,12,0,1,3.54,100000.0,12,338.9830508474576,2018-10-31,10,4,31
42,1562,154,910000,13,0,6,0.54,70000.0,13,2407.4074074074074,2018-09-23,9,3,23
43,1497,89,8600000,83,0,3,20.75,103614.45783132529,83,400.0,2018-05-26,5,2,26
44,1483,291,10230000,176,0,6,16.76,58125.0,176,1050.1193317422437,2018-04-14,4,2,14
45,1553,73,3280000,41,0,3,13.95,80000.0,41,293.90681003584234,2018-10-13,10,4,13
46,1562,312,160000,2,0,7,0.31,80000.0,2,645.1612903225807,2018-09-17,9,3,17
47,1481,259,15360000,273,0,2,42.92,56263.73626373626,273,636.0671015843429,2018-04-28,4,2,28
48,1511,250,8920000,223,0,4,11.8,40000.0,223,1889.8305084745762,2018-07-24,7,3,24
49,1573,250,9760000,122,0,6,4.3,80000.0,122,2837.2093023255816,2018-10-22,10,4,22
50,1481,165,10120000,233,0,3,35.36,43433.476394849786,233,658.9366515837104,2018-04-21,4,2,21
51,1484,313,30240000,410,0,6,22.48,73756.09756097561,410,1823.8434163701068,2018-03-30,3,1,30
52,1556,191,6300000,126,0,6,3.99,50000.0,126,3157.894736842105,2018-09-14,9,3,14
53,1493,450,50640000,650,0,6,47.2,77907.69230769231,650,1377.1186440677966,2018-05-15,5,2,15
54,1486,474,9040000,113,2,3,43.97,80000.0,111,256.9934045940414,2018-04-28,4,2,28
55,1485,277,13840000,173,0,3,21.36,80000.0,173,809.9250936329587,2018-04-03,4,2,3
56,1559,210,8000000,80,0,6,11.2,100000.0,80,714.2857142857142,2018-07-30,7,3,30
57,1554,390,34300000,343,0,2,91.22,100000.0,343,376.014032010524,2018-08-12,8,3,12
